,Title,Link,Day,Time,Where,Image link
12,NEW YORK - Viaggio di Gruppo,https://www.facebook.com/events/630938218497634/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 22 NOV-26 NOV,17 interested · 2 going,https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/345425626_706139687933521_1670574886958718486_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=101&ccb=1-7&_nc_sid=934829&_nc_ohc=2Yegxsgs2_8AX-zUJJk&_nc_ht=scontent.fbho3-3.fna&oh=00_AfAcP33l-3rqYT8s-WD4ya31tHRV0zOsY8G-7zcq8Mf3vw&oe=6501C61A
14,New York City Feuerwehr Reise 2023,https://www.facebook.com/events/108304775606896/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,"Times Square, New York City",https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/350986982_625539789232079_1657229359958328606_n.png?stp=c153.0.1566.1044a_dst-jpg_s168x128&_nc_cat=104&ccb=1-7&_nc_sid=934829&_nc_ohc=S3tzmuiiNEkAX_PCnUh&_nc_ht=scontent.fbho3-2.fna&oh=00_AfBNh1fDlYhuP5PNEQUEPqguzL7Z7tCwXu4026gkaHviRA&oe=6500ED67
15,"Danna Paola - New York, NY",https://www.facebook.com/events/764108902034229/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 20:00 EDT,Palladium Times Square,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/346274929_1940930049591445_7475380239259056086_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=104&ccb=1-7&_nc_sid=934829&_nc_ohc=7zjIgTFbPCQAX9WQ_fW&_nc_ht=scontent.fbho3-2.fna&oh=00_AfCaHTZ615PMGEwsG0RX6OSTyy32VBSHS7Lm93cM6-B3vA&oe=650178E0
16,"Manuel Turizo - New York, NY",https://www.facebook.com/events/830475738225796/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 14 OCT AT 20:00 EDT,United Palace,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/362996310_627155286178488_1684413717808807496_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=oLPBRg-DVOcAX-DY_oM&_nc_ht=scontent.fbho3-2.fna&oh=00_AfCa_FghK73YXgZ5i7yXwdsVi78o-A2nsuL24tZ1plTGlA&oe=650143AF
17,Indonesian Film Festival New York 2023,https://www.facebook.com/events/1848988272164650/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 14 SEP-16 SEP,SVA Theatre,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/370782201_3399669743678356_1232212193178170557_n.jpg?stp=c128.0.945.630a_dst-jpg_s168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=EKtRzH5VaBIAX_RtRD3&_nc_ht=scontent.fbho3-1.fna&oh=00_AfB5g9b4YEQbVZFAdX8mn0cS3DbgZeQSy18q2xhzIqhbgw&oe=6502246D
18,New York City Chocolate Crawl,https://www.facebook.com/events/1086087818997207/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP AT 12:00 EDT AND 24 MORE,Washington Square Arch,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/333988739_1410922176402393_801681152515660273_n.jpg?stp=c100.0.1080.720a_dst-jpg_s168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=Twk4zVQjk2QAX_psQZ8&_nc_ht=scontent.fbho3-2.fna&oh=00_AfCDhLaeGR0UG0-fd2JTZ8DEO0vMf_LNYONtg1Lk-XeNOA&oe=65015E13
19,Без Обмежень I New York,https://www.facebook.com/events/757298059332463/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP AT 19:00 EDT,Music Hall of Williamsburg,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/330995764_908853117233340_8572829001112352811_n.jpg?stp=c220.0.1608.1072a_dst-jpg_s168x128&_nc_cat=107&ccb=1-7&_nc_sid=934829&_nc_ohc=Zq5BIhcsLY0AX_7jwks&_nc_ht=scontent.fbho3-2.fna&oh=00_AfCYjTUZTScDD13zOQp_CutfoAf0bgn3W7oHorleTjln-g&oe=6500AFD6
20,"New York City, NY",https://www.facebook.com/events/753012473165351/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 4 JAN 2024-6 JAN 2024,54 Below,https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/371831189_828348818669859_1032213383729839291_n.jpg?stp=dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=NcSNzZVtZqMAX9rdI1-&_nc_ht=scontent.fbho3-3.fna&oh=00_AfB39syzJQu5uZXsgX_Vf6e_vucffBPUSNEPmsryvlIp2Q&oe=65003D43
21,Sleep Token Tickets New York City NY Webster Hall NYC,https://www.facebook.com/events/624441309729484/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP AT 20:00 EDT,Webster Hall,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/350289876_245413461414599_260671731417118003_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=r3jmYcdGeIoAX9cnh9g&_nc_ht=scontent.fbho3-2.fna&oh=00_AfA45wiSc8ZIsxgUJ0fDLweVStiLxHgyqM7CVcXXF7bJ4Q&oe=65013BB1
22,"NEW YORK, N.Y. - Dental Sleep Medicine Seminar",https://www.facebook.com/events/1157896195142650/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 15 SEP-16 SEP,Tarallucci e Vino Union Square,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/312486755_5452602484776380_1759977373582202987_n.jpg?stp=c362.0.2172.1448a_dst-jpg_s168x128&_nc_cat=105&ccb=1-7&_nc_sid=934829&_nc_ohc=FVxYsZqbWdMAX8NqZp5&_nc_ht=scontent.fbho3-2.fna&oh=00_AfC6yG9BJEm8vBdH8AVtyCQga7kTfdI7-N8cbGChe_g_TA&oe=6500958E
