,Title,Link,Day,Time,Where,Image link
30,"Luke Combs: Washington, D.C.",https://www.facebook.com/events/157377614054724/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 27 JUL 2024 AT 17:00 CDT,FedExField,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/366571293_853018679524667_5614636573910307828_n.jpg?stp=c38.0.1095.730a_dst-jpg_s168x128&_nc_cat=110&ccb=1-7&_nc_sid=934829&_nc_ohc=qdZYBbpZFl0AX_Vc9e_&_nc_ht=scontent.fbho2-1.fna&oh=00_AfA0jq5Ld8zo2oir7YXIqxcGiRUjrdNAcLkrFx0vo89u6A&oe=64FE0467
31,"Washington, DC - Enrique Iglesias LIVE!",https://www.facebook.com/events/589244743277005/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 14 OCT AT 18:00 PDT,Capital One Arena,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/350125180_690407616182403_6528043822288873641_n.jpg?stp=c86.0.628.419a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=XLNJETnwyzoAX_3azyC&_nc_ht=scontent.fbho2-1.fna&oh=00_AfBdlalUD1CxL6-mf19wyOxaT68a2wYUZzmMcXFsQ8yu8g&oe=64FDC511
32,Без Обмежень I Washington DC,https://www.facebook.com/events/462897112596324/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 19:00 EDT,Capital Turnaround,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/330853700_1415953212275935_6386727405168748922_n.jpg?stp=c172.0.1256.837a_dst-jpg_s168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=-KaIBcMnYXUAX_xMDH2&_nc_ht=scontent.fbho2-1.fna&oh=00_AfC8IZyNbmj5me_o1k0H_jjCDxO5WEaRmBWIxesWpkUBPg&oe=64FCF422
33,Hozier Tickets Washington DC The Anthem,https://www.facebook.com/events/611788327433550/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,TUES, 26 SEP AT 20:00 EDT,The Anthem,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/336651552_740081417844927_7434675506979237149_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=8RbSduW5UD8AX-9wFDV&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDFzY2MxTXkkyxRFR14wWPs4Xjh4ljmkgbhw5tk0MXu5g&oe=64FCB376
34,Washington DC - Rock Creek Park Wednesday League,https://www.facebook.com/events/6141706522508347/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 6 SEP AT 17:30 EDT AND 4 MORE,"16th St, Rittenhouse, NW",N/A
35,"Corinne Bailey Rae At Lincoln Theatre - DC - Washington, DC",https://www.facebook.com/events/936689760970856/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 6 SEP AT 20:00 EDT,The Lincoln Theatre,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/355638532_641520241328587_5721745756091363457_n.jpg?stp=dst-jpg_s168x128&_nc_cat=107&ccb=1-7&_nc_sid=934829&_nc_ohc=HK2KyElAPAsAX-wc_F8&_nc_ht=scontent.fbho2-1.fna&oh=00_AfC3iVBkaJ3oBRYtz_XK1CfX5gTwFe3H-1zMsaykNqW0NA&oe=64FC9D54
36,"Maluma - Washington, DC",https://www.facebook.com/events/954578585840768/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 20 OCT AT 06:00 UTC+06,Online,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/367733840_199427423119272_3476689880827748228_n.jpg?stp=c94.0.1012.675a_dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=uNDAgueii78AX_FqSC1&_nc_ht=scontent.fbho2-1.fna&oh=00_AfC6oF4SgWLzUwEbgFbeaRRJ7YzxwwsZvLOaGdk78cSUqQ&oe=64FDF49B
37,🇦🇷 Alacrán llegará a Washington DC,https://www.facebook.com/events/1597465497446871/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 8 SEP AT 20:00 EDT,Lunas de Buenos Aires DC,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/374661477_857635602732710_8763163816854639649_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=qukWuX_qc7oAX-ooDiL&_nc_oc=AQnVzAdPnMTliptSnq6k79jxyBB2iW2htyOdoFDM0dqKz4tKo6fdQdWzRnFdhIwUMzLElNONTN9M3gzP8-NxlXEg&_nc_ht=scontent.fbho2-1.fna&oh=00_AfADYEQkVFMt5MB-aI6CpnmHXrIul-D29i05TWcqptb7eA&oe=64FE85BE
38,Men in Motion Ladies Night Out - Washington DC,https://www.facebook.com/events/690434382555304/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 21:00 EDT,The Bier Baron Tavern and Comedy Loft,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/324273153_915670772922804_6432030675748441255_n.jpg?stp=c270.0.1620.1080a_dst-jpg_s168x128&_nc_cat=107&ccb=1-7&_nc_sid=934829&_nc_ohc=3QKLnl8vu9EAX8DK1Ra&_nc_ht=scontent.fbho2-1.fna&oh=00_AfBLN7BzTJ-3usKIpb39SVIO-7_-Bf-mjSMu5_cBCtPpyQ&oe=64FDD3F4
39,Moein Tickets Washington DC Warner Theatre,https://www.facebook.com/events/1693274317752378/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 20:30 EDT,Warner Theatre,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/363826137_758577262938676_2565005892835726625_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=104&ccb=1-7&_nc_sid=934829&_nc_ohc=9s1aJpmuVmUAX_kfsGq&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDKNL7BZdvfd_78VmvWyjxvC4Uf4Y80JuZyrFPKT_6bjA&oe=64FDD70E
40,Patti Smith Tickets Washington DC The Anthem,https://www.facebook.com/events/217237831271798/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 20:00 EDT,The Anthem,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/357777689_741403761322693_6682651179344159018_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=100&ccb=1-7&_nc_sid=934829&_nc_ohc=F0xBEPEMdlsAX9pnoOO&_nc_ht=scontent.fbho2-1.fna&oh=00_AfAnngB52bwrSWGGHgPDiKuPOesYo_5OgUbpgOtDzYxsfw&oe=64FDAB8B
41,Washington DC: 15-Stop Trolley Tour,https://www.facebook.com/events/873877270530036/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THU, 7 SEP AT 09:00 EDT AND 22 MORE,Lincoln Memorial,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/331033968_1263312804250005_7427038527843249639_n.jpg?stp=dst-jpg_s168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=QuLKXnxcXCgAX-6T5Dt&_nc_ht=scontent.fbho2-1.fna&oh=00_AfB0cj60CxDJZyckgjTBDmsSM2nqlVlKWRU3KCzYB48bDA&oe=64FD836B
42,Washington DC Dinner Cruise,https://www.facebook.com/events/1479405799146813/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 28 SEP 2024 AT 19:00 EDT,The Odyssey Dinner Cruise,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/306466950_1230378940839665_4008101644165378787_n.jpg?stp=dst-jpg_s168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=A5tRWhOg6XUAX-b77ia&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCphsUgn7QzzXh8NCRsjdMR-cRs6jp7I6Yf3NE2IBiHag&oe=64FE5CAD
43,"Maluma - Washington, DC",https://www.facebook.com/events/1691309367958187/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 19 OCT AT 20:00 EDT,Capital One Arena,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/349702504_635896795071119_1253070026954733174_n.jpg?stp=c94.0.1012.675a_dst-jpg_s168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=E0ih4KTwda0AX8l4yrD&_nc_ht=scontent.fbho2-1.fna&oh=00_AfB5PbY9w2A0iI1tfxHqDAjG1tM40m-3Mcl-5s6ACoPz_w&oe=64FE2035
44,Virginia: World Touring Belly Dance Artist in Washington DC,https://www.facebook.com/events/985577692586599/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 15 SEP-16 SEP,Sahara Dance,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/363355097_785574990028947_46833965093556500_n.jpg?stp=c0.47.168.112a_dst-jpg_p168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=qhwgXVK_fhsAX8nALzz&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCsG9PfuCvt1fUC3Tlo9ZFihFht326-24n6YuyZ6GEcIg&oe=64FE6FE2
45,The Reunion Tour: Kirk Franklin & More Tickets Washington DC Capital One Arena,https://www.facebook.com/events/922988055664452/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 22 OCT AT 19:00 EDT,Capital One Arena,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/354457986_729419499187786_7646962783266176536_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=dzHnq6D-1fcAX-Uf03x&_nc_ht=scontent.fbho2-1.fna&oh=00_AfBte8tK_KFw61KterJ9S7qGGqdQbCsuOFbUmuW7YyjI9A&oe=64FDD1D6
46,"Depeche Mode - Washington, DC - Oct 23",https://www.facebook.com/events/157874960480030/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,MON, 23 OCT AT 19:30 EDT,Capital One Arena,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/351510177_633066768491008_7820930285917035477_n.jpg?stp=c53.0.394.263a_dst-jpg_s168x128&_nc_cat=101&ccb=1-7&_nc_sid=934829&_nc_ohc=EKNVXSQuqTkAX_0Nu_T&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCgm4Y4aQJk2QQysyTHhM-tb25SmEzU6MOglVi1lAON1w&oe=64FD4AF7
47,WORLD CULTURE FESTIVAL@ NATIONAL MALL WASHINGTON DC- FREE PASSES,https://www.facebook.com/events/282578434462517/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 29 SEP-1 OCT,National Mall,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/365296574_308652324859775_6150771721414052866_n.jpg?stp=c176.0.468.312a_dst-jpg_s168x128&_nc_cat=105&ccb=1-7&_nc_sid=934829&_nc_ohc=rfxrB2_QTSgAX_e2kMJ&_nc_ht=scontent.fbho2-1.fna&oh=00_AfACTaND3kMen5Nk6W0Hg8zffQ1HAmqfVJmGMyX6YrNj5A&oe=64FD4FEE
48,Lauryn Hill & The Fugees Tickets Washington DC Capital One Arena,https://www.facebook.com/events/668390972009274/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 21 OCT AT 19:30 EDT,Capital One Arena,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/369182791_774308858032183_4152604669586460721_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=mtGBJC82SxIAX8Ufp_m&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCGwoqvBWCRa_AbPZTh-TKWJUZf4GSsPKIijhZ-ZO-I1Q&oe=64FE189B
49,Hozier Tickets Washington DC The Anthem,https://www.facebook.com/events/104974662549185/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 27 SEP AT 20:00 EDT,The Anthem,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/337895583_1162782217736827_1682064972734176245_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=r1mv55ZyZMwAX-Dk4eE&_nc_ht=scontent.fbho2-1.fna&oh=00_AfD_rFBFqGhFLJfBTGmqgQH8_Mjfcu-RcTO43JkSf-lYsA&oe=64FDD438
50,"R&B ONLY LIVE (Washington, D.C.)",https://www.facebook.com/events/1015406969639758/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 DEC AT 19:15 PST,The Anthem,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/363417920_263733906407500_7931392814889513568_n.jpg?stp=dst-jpg_s168x128&_nc_cat=101&ccb=1-7&_nc_sid=934829&_nc_ohc=tlZIofDK5J0AX-9FEmi&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDYz6-CHSqETIWnTzuZLNnKapiXi_I4NcXRRRo56fraYA&oe=64FDCE34
51,"Jonas Brothers - Washington, DC",https://www.facebook.com/events/948423166270868/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP AT 19:30 EDT,Capital One Arena,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/344799136_10015371241821503_7649334955564196409_n.jpg?stp=dst-jpg_s168x128&_nc_cat=104&ccb=1-7&_nc_sid=934829&_nc_ohc=OEiP94RuVrsAX9UF3hn&_nc_ht=scontent.fbho2-1.fna&oh=00_AfA7usZfZD2fxoeOKbgHPcidME1Goe6JSz5NuxdAtrxHxA&oe=64FD8B41
52,Moulin Rouge The Musical Tickets Washington DC Kennedy Center Opera House,https://www.facebook.com/events/245598438050383/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 13:30 EDT AND 11 MORE,Kennedy Center Opera House,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/347102533_258587933318601_6472628645081201073_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=105&ccb=1-7&_nc_sid=934829&_nc_ohc=dm_EsmSkrXcAX_utX82&_nc_ht=scontent.fbho2-1.fna&oh=00_AfAqoRPsU1SWh1jA16E3NWI1tgoxOK8sJwuHQjrAGZD-Pg&oe=64FDFE68
53,"Earth Law Symposium, Washington D.C.",https://www.facebook.com/events/234860689544619/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 14 SEP-15 SEP,Jacob Burns Moot Courtroom,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/370336556_1704490463333188_8969759860572345407_n.jpg?stp=c118.0.705.470a_cp6_dst-jpg_s168x128&_nc_cat=107&ccb=1-7&_nc_sid=934829&_nc_ohc=deQuajOJITAAX--4Td_&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCQ5s8RAyEqMovNtlFL3oMJ9kyIjnLK0rJBz6JvkxB4Yg&oe=64FDB188
